# x	f(x)	F(x)	error
2.973	18.2885	18.259	0.0294839
2.9745	18.4578	18.41	0.047766
2.976	18.6267	18.5598	0.0669039
2.9775	18.7952	18.7083	0.0869182
2.979	18.9633	18.8555	0.10783
2.9805	19.131	19.0013	0.129661
2.982	19.2981	19.1457	0.152433
2.9835	19.4648	19.2887	0.176167
2.985	19.631	19.4302	0.200887
2.9865	19.7967	19.5701	0.226614
2.988	19.9619	19.7085	0.253373
2.9895	20.1266	19.8454	0.281185
2.991	20.2907	19.9806	0.310075
2.9925	20.4542	20.1141	0.340067
2.994	20.6171	20.2459	0.371186
2.9955	20.7795	20.376	0.403454
2.997	20.9412	20.5043	0.436899
2.9985	21.1023	20.6308	0.471545
3	21.2628	20.7554	0.507418
